geracao,barras,potencias,energias,violacao,custo
0,"[10, 6]","[42.77351571431912, 46.329808990099295]","[139.85338683366314, 163.66904397868603]",705.5555555555555,402.5429486961453
0,"[4, 3]","[44.69157674978343, 72.2205424560144]","[81.3988500948946, 118.37565926874754]",859.7222222222222,316.68662856944
0,"[10, 5]","[88.37932838826819, 58.88981439098551]","[104.19193697307911, 180.68402692126656]",876.3888888888889,432.14510667359934
0,"[2, 5]","[49.95945648267532, 59.1867664895365]","[101.28385644472286, 163.4474809019353]",952.0833333333335,373.87756031887
0,"[5, 4]","[35.74954796739752, 76.9597382960653]","[89.3347636241339, 180.0322386347735]",1351.3888888888887,382.0762885223702
0,"[5, 4]","[35.74954796739752, 76.9597382960653]","[89.3347636241339, 180.0322386347735]",1351.3888888888887,382.0762885223702
0,"[10, 6]","[39.20041247555876, 71.37277022830855]","[178.56973607379052, 149.41724701497375]",1022.9166666666665,438.5601657926316
0,"[10, 6]","[39.20041247555876, 71.37277022830855]","[178.56973607379052, 149.41724701497375]",1022.9166666666665,438.5601657926316
0,"[10, 6]","[86.47437629505087, 59.373343407648974]","[107.07297128333686, 179.4729038876402]",1232.6388888888891,432.39359487367693
1,"[5, 2]","[35.210207331509515, 17.02556928997533]","[59.77419542857514, 31.39720487316655]",84.02777777777779,143.40717692322653
1,"[10, 5]","[7.1914826081102, 20.3555394521186]","[88.9063154469661, 51.452678241816784]",40.27777777777778,167.90601574901171
1,"[10, 5]","[7.1914826081102, 20.3555394521186]","[88.9063154469661, 66.5052342577564]",40.27777777777778,167.90601574901171
1,"[10, 1]","[7.1914826081102, 18.880254850847745]","[88.9063154469661, 66.5052342577564]",40.27777777777778,167.90601574901171
1,"[10, 5]","[7.191482608110199, 20.3555394521186]","[88.9063154469661, 88.67067224651672]",0.0,205.12400975371162
1,"[5, 6]","[33.32577953436673, 17.2027526266875]","[71.800915291589, 54.30093909250205]",140.27777777777777,176.63038654514529
1,"[5, 10]","[10.956929746993072, 38.726028120144285]","[108.74138855131146, 86.5100891840197]",38.19444444444444,244.9344356024685
1,"[13, 10]","[22.299182646130888, 29.44899448228463]","[123.23401776847851, 66.74057672192603]",138.19444444444446,241.72277161882005
1,"[13, 10]","[22.299182646130888, 29.44899448228463]","[123.23401776847851, 66.74057672192603]",138.19444444444446,241.72277161882005
1,"[13, 10]","[22.299182646130888, 29.44899448228463]","[111.34041932031423, 66.74057672192603]",138.19444444444446,241.72277161882005
1,"[5, 3]","[10.783365203771254, 39.20176270370659]","[110.63455389371481, 100.93404706236092]",0.0,261.5537288635536
1,"[14, 8]","[15.430468438250072, 31.139448718654382]","[45.10205113683701, 91.72500035510487]",150.0,183.39696864884633
1,"[14, 8]","[15.430468438250072, 31.139448718654382]","[5.369012680570279, 91.72500035510487]",150.0,183.39696864884633
1,"[7, 13]","[20.710931965204367, 62.27541133154287]","[88.09777543759078, 87.48582428603436]",147.2222222222222,258.56994302037236
1,"[5, 12]","[30.286853897623075, 34.4245387557711]","[115.89522837498245, 95.48417815208657]",0.0,276.0907991804632
1,"[8, 13]","[24.094219260076734, 24.70536430913225]","[25.613674558428755, 172.65413151912384]",154.86111111111111,247.06738964676157
1,"[8, 13]","[24.094219260076734, 24.70536430913225]","[25.613674558428755, 172.65413151912384]",154.86111111111111,247.06738964676157
1,"[8, 13]","[24.094219260076734, 24.70536430913225]","[25.613674558428755, 172.65413151912384]",154.86111111111111,247.06738964676157
1,"[7, 4]","[29.085553755030546, 42.22737032140977]","[109.20529566328428, 45.93559747939175]",319.44444444444446,226.45381721911633
1,"[7, 4]","[29.085553755030546, 42.22737032140977]","[109.20529566328428, 45.52499816008423]",319.44444444444446,226.45381721911633
1,"[7, 4]","[29.085553755030546, 42.22737032140977]","[109.20529566328428, 45.93559747939175]",319.44444444444446,226.45381721911633
1,"[13, 14]","[17.85272305096069, 42.11031785166754]","[72.6553181451664, 82.91423409524977]",402.08333333333337,215.53259314304438
1,"[6, 4]","[24.79499865900464, 18.004859357732748]","[126.2457244566292, 157.9858550913711]",0.6944444444444442,327.0314375647377
1,"[6, 13]","[24.79499865900464, 13.10255986397441]","[98.9342394494027, 157.9858550913711]",0.6944444444444442,327.0314375647377
1,"[6, 12]","[24.79499865900464, 12.062916714785068]","[122.09931692354286, 157.9858550913711]",0.6944444444444442,327.0314375647377
1,"[5, 1]","[21.532403841446, 90.32059839176002]","[164.4493281504363, 184.97083702175217]",0.0,461.2731674053945
1,"[5, 1]","[21.532403841446, 90.32059839176002]","[164.4493281504363, 184.97083702175217]",0.0,461.2731674053945
1,"[1, 8]","[44.485251277767944, 30.897607602624355]","[69.73511353103987, 144.16370039799713]",128.47222222222223,289.2816728094293
1,"[1, 8]","[44.485251277767944, 30.897607602624355]","[69.73511353103987, 166.4000446574331]",128.47222222222223,289.2816728094293
1,"[12, 1]","[44.993087828680686, 36.05762302653888]","[69.91608795864346, 139.100024187472]",118.05555555555556,290.066823001335
1,"[5, 6]","[27.200484936529016, 19.3813676035129]","[109.25788817347767, 132.56572956513443]",163.88888888888889,288.405470278654
1,"[4, 11]","[28.77146253141362, 40.11345700858941]","[85.56734616440264, 124.86040196882]",240.97222222222223,279.31266767322563
1,"[12, 7]","[33.444869985731586, 49.81692285302469]","[122.68664813160521, 57.54181370680753]",321.5277777777777,263.490254677169
1,"[12, 7]","[33.444869985731586, 49.81692285302469]","[122.68664813160521, 57.54181370680753]",321.5277777777777,263.490254677169
