hour, t(sec), S1 (kVA), Ang1, S2 (kVA), Ang2, S3 (kVA), Ang3, S4 (kVA), Ang4
19, 0.00000, 34.6072, 7.63147, 38.713, 16.7495, 31.7144, 18.9042, 0, 0
19, 600.00000, 34.2674, 7.58475, 38.3352, 16.6866, 31.4134, 18.8505, 0, 0
19, 1200.00000, 33.8897, 7.53477, 37.9154, 16.6174, 31.0794, 18.7923, 0, 0
19, 1800.00000, 32.744, 7.36762, 36.6523, 16.4134, 30.0586, 18.6313, 0, 0
19, 2400.00000, 31.9711, 7.24413, 35.7977, 16.2904, 29.3545, 18.5257, 0, 0
19, 3000.00000, 31.4788, 7.16743, 35.2513, 16.2126, 28.9057, 18.4561, 0, 0
20, 0.00000, 31.2694, 7.13497, 35.0185, 16.1795, 28.7146, 18.4263, 0, 0
20, 600.00000, 31.1981, 7.12367, 34.9395, 16.1681, 28.6496, 18.4163, 0, 0
20, 1200.00000, 31.1279, 7.11273, 34.8615, 16.157, 28.5855, 18.4064, 0, 0
20, 1800.00000, 31.0577, 7.1018, 34.7835, 16.1459, 28.5215, 18.3964, 0, 0
20, 2400.00000, 31.0223, 7.09625, 34.7443, 16.1403, 28.4893, 18.3914, 0, 0
20, 3000.00000, 30.7783, 7.05854, 34.473, 16.1019, 28.2666, 18.3567, 0, 0
21, 0.00000, 30.4951, 7.01118, 34.1589, 16.0597, 28.0056, 18.318, 0, 0
21, 600.00000, 29.5466, 6.85293, 33.1055, 15.9191, 27.1307, 18.1875, 0, 0
21, 1200.00000, 28.6696, 6.70629, 32.131, 15.7885, 26.3221, 18.0663, 0, 0
21, 1800.00000, 27.9692, 6.58916, 31.3523, 15.6839, 25.6767, 17.969, 0, 0
21, 2400.00000, 26.5028, 6.3444, 29.7202, 15.4635, 24.326, 17.7634, 0, 0
21, 3000.00000, 26.0491, 6.26823, 29.2151, 15.3949, 23.9083, 17.6995, 0, 0
22, 0.00000, 25.6661, 6.2042, 28.7883, 15.3368, 23.5557, 17.6452, 0, 0
22, 600.00000, 25.3877, 6.15764, 28.4781, 15.2945, 23.2995, 17.6057, 0, 0
22, 1200.00000, 25.2839, 6.1405, 28.3622, 15.2787, 23.204, 17.5907, 0, 0
22, 1800.00000, 24.9705, 6.08794, 28.013, 15.231, 22.9156, 17.5461, 0, 0
22, 2400.00000, 24.7286, 6.04807, 27.743, 15.1939, 22.6932, 17.511, 0, 0
22, 3000.00000, 24.7617, 6.05286, 27.7802, 15.1991, 22.7235, 17.5164, 0, 0
23, 0.00000, 24.6583, 6.03595, 27.6648, 15.1833, 22.6284, 17.5013, 0, 0
23, 600.00000, 24.2761, 5.97188, 27.2385, 15.1248, 22.2768, 17.4464, 0, 0
23, 1200.00000, 23.5828, 5.85603, 26.4647, 15.0182, 21.6392, 17.346, 0, 0
23, 1800.00000, 23.0286, 5.76331, 25.8461, 14.9326, 21.1297, 17.2652, 0, 0
23, 2400.00000, 22.1988, 5.62449, 24.9191, 14.8035, 20.3671, 17.143, 0, 0
23, 3000.00000, 21.0257, 5.42802, 23.6073, 14.6192, 19.2893, 16.9675, 0, 0
24, 0.00000, 20.3366, 5.31239, 22.8364, 14.5099, 18.6564, 16.8631, 0, 0
